품종,성별코드,주진단명코드,병원,SE,기타진단코드,기타증상코드,주진단명,질환,증상명,주증상명,len,diags_small_id
Turkishangora(터키쉬 앙고라),MN              ,2092,F_센트럴,c.c 배뇨곤란 요도폐쇄가 걱정되서 내원 차지우 동물병원에서 방광결석 제거수술병력 있음 식욕양호 ray sono 방광결석 신장결석 방광벽비후 방광확장안됨 내원당시 요도폐쇄 증상은 보이지 않음 방광결석수술 권유함. 재내원시 혈검 신장결석 요관결석 체크 요합니다 sc cepha chymotrypsin ,,901, 방광 결석 , 비뇨기과 질환 ,"배뇨장애(통증, 곤란), 빈뇨, 이소배뇨","배뇨장애(통증, 곤란), 빈뇨, 이소배뇨",167,1
Pomeranian(포메라이안),MN,2092,B_W,어제 부터 우측 뒷다리를 들고 다님. 신체검사 우측 뒷다리 슬개골 탈구 grade 경골의 조면 각이 많이 변위됨 방사선 사진상 경골의 변위가 심함. 반월판의 손상과 외측인대 손상의 문제 십자인대 관련 미약한 움직임이 생김 부분 단열의심 방광 결석 확인됨. 초음파상에 방광염 소인 있어 요배양 보냄 수술 외측인대 파열된 것 확인됨. 십자인대는 양호하게 확인됨 groove 성형 외측인대 복원 근막 이중봉합 내측 근육 이완 시킴 ,,9, 방광 결석 , 비뇨기과 질환 ,배뇨실금,배뇨실금,238,1
Persian Cat(페르시안 고양이),MN              ,2095,E_24시아이, 접종 내외부 기록 확인해주세요 지난 day 에 생식기부분핥고 화를 내는 증상 보였음 이후에 밥도 안먹고 물도 안먹고 소변도 안봐서 병원에 갔음 신장수치 많이 높고 급성신부전이라고 들어서 뇨카 장착 다음날 day 에 수치 모두 정상으로 회복되어 뇨카제거하고 퇴원했는데 와서도 소변을 못보고 먹지 않아 다시 병원가서 day 에 다시 뇨카 장착 처음에는 소변색이 괜찮았는데 점점 붉은색으로 변함 오늘까지 사료 거의 먹지 않음 안먹은지 month 일은 된듯 pe 엉덩이 주변 소변 뭍어있음. cbc wnr fsaa serum chem bun ray lk rk us 방광내 슬러지 심함 방광벽비후 urinalysis sg money ph sediment cocci rbc 특발성방광염 세균성 아닌 특발성으로 판단됨 스트레스 요인등이 가장큰 요인 post renal로 신장수치 높아진듯 수화된 이후 신장기능에대한 재 평가 필요 본원에서 카테터 재 장착 및 방광 세척 진행함 month 입원 카테터 month 유지 케타민 vial ,,9, 고양이 하부 요로 질환 FUS · FLUTD , 비뇨기과 질환 ,배뇨실금,배뇨실금,515,2
K.C(Korean Cat),MN,건강검진,D_VIP, 건강검진 예정 ray검사 복부초음파 by hyuna no remarkable findings 혈액검사 cre 로 다소 높아져있음 pcv . 높은편 그외에는 특이소견 없음 소변검사 비중 money 높음 눈검사 정상 영상검사에서도 특이소견 없음 month 전에 접종이후 등부위에 탈모 생김 소독 연고발라주고 있는데도 호전도 없고 더 나빠지지도 않는상황입니다. 곰팡이배양검사 진행. 일주일후에 검사결과 안내예정입니다. 신장기능검사를 위해 sdma 검사 의뢰합니다. ,,,,,,,258,9
K.C(Korean Cat),MN              ,2126,D_VIP, money 결제완료 cc 식욕부진 혈변 원래부터 간혹 정상변에 혈액 조금씩 묻어나오는 변 보았음 변비는 아니였으나 변의 양이 평상시보다 적을때 주로 month 중순경에 생에 첫 발작. time 가량. 유연증상 발작 회 있은 후 중앙ah에서 진료 스크리닝 검사상 특이사항 없었음 pds enro metazolamide sily 등 내복약 처방받아 먹었음 이후 발작 없음 month 경 중성화 했고 이때 혈액검사상 특이사항 없음 month 경부터 식욕이 조금씩 떨어짐. 내복약 잘 못먹여서 발작 회 있었음 이후 내복약 증량 month 정도 전부터 정상변에 점액 묻어나오며 식욕부진 점점 심해짐 month 전부터 흑변에 선혈이 묻어나옴 day 부터 식욕절폐 음수량 없음 depressed bt mm pale yellow 이상 탈수 femoral pulse weak wbc plt g ratio aptt fcov ab 양성 혈압 측정 불가 tx s kcl 유지 배 time hr hetastach time kg dobu time kg hr cefo metro famo meto tra dexa ,,"21,42", 경련 발작 (원인 미정) , 신경 질환 ,"식욕부진, 식욕저하,혈변","식욕부진, 식욕저하",553,4
Bichon Frish(비숑 프리제),FS              ,2170,F_센트럴, history 방금 직전에 구강 주위에 다량의 출혈 발생한 것 발견하심 낙상이나 특이적인 상황은 없었으나 출혈 시점은 확인되지 않음 objective massive bleeding around mouth lt. dental calculi stage bleeding origin lt. canine teeth suspected coagulation test in normal range skull rx. nsf elevated liver enz. hyperphosphatemia auscultation murmur treatment 금일 지혈처치 ce 전체적인 건강 상태 불량하며 심장을 포함한 검진 후 관리 필요함 안정 후 마취 하 치아상태 평가 및 발치 권장 plan day 내원 시 견적서 내용 및 복부 초음파 검사 후 가능 시 발치 권장 ,,"15,75", 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,"출혈,심잡음",출혈,417,6
Maltese(말티즈),FS,2170,D_VIP,cc 치과관련상담 빻은 사료나 무른 사료만 먹였음 최근 이가 하나 빠짐 어릴때부터 이가 약했음 이가 들떠있다고 지난번 미용 때 들었음 턱 아래쪽으로 목에 뭐가 생겼음. 커지거나 불편해하지는 않음. 전반적으로 구강위생상태가 몹시 좋지 않음 심한 치주염으로 이미 유실된 치아 있어보임 ci gi 이상. 상악 송곳니 발치 필요할 것 같음 옆 epulis 마취전 검사 청진 양호 흥분하면 혀 청색증 bw wbc 상승 흉부방사선 thoracic inlet의 tc tc 관리를 위한 체중 감량 반드시 필요함 치과치료 전에 내복약 복용 month 비용은 치과방사선 촬영 이후 정확하게 안내될 수 있음. 치은종 절제 후 조직검사 의뢰 비용 추가될 수 있음 턱 아래 mass는 양성종양으로 생각됨. 원하시면 마취 할 때 함께 조직의뢰 가능함. 보류하심. 치과치료 예약 ,기관협착,"38,6102", 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,치주염,치주염,421,6
Bichon Frish(비숑 프리제),FS,2092,D_VIP, money 결제하셨습니다. 미리 아침 time 경 먹음 수술은 조금 늦게 meto time kg iv bolus alert p panting no murmur no crackle 소변검사 cocci rod 방광결석 성분 의뢰 항감수 의뢰 ,,8, 방광 결석 , 비뇨기과 질환 ,혈뇨,혈뇨,134,1
Maltese(말티즈),MN              ,2170,F_센트럴,최대한 짧게 피안나게 발톱 정리. propofol time 잇몸 퇴행. 지주 질환 단계. 흔들리지는 않음. 접종은 다음주에 개 그 이후 나머지 개 . ,x,, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,,,84,6
spitz(스피츠),FS              ,2116,F_센트럴,hx 최근 한달쯤 안에 유선종양 발생 컨디션은 양호 어렸을때부터 특별히 아팠던 적은 없고 슬개골 탈구 때문에 통증있었던 적은 있음 pe bar 매우 예민 aus nsf 양측 mpl grade 방사선 nsf sono 방광내 슬러지 bw 큰 소견없음 crp month 입원하며 치료진행 butorphanol amp propofol time ketamine time ,x,221, 유선 종양 / 유방 종괴 , 생식기 질환 ,"종괴, 혹, 낭종","종괴, 혹, 낭종",202,3
Mixed(혼합),MN              ,2170,D_VIP, money 중간결제 치과치료 차 내원 앞니 송곳니 작은어금니 없음 양치 해주신 적 없음 오른쪽 부분을 아파한다고 함 입냄새가 매우 심하다고 함 치과치료 받으신지 year 되었음 식욕 활력 배변 배뇨 양호 중성화 수술 외 수술 받으신 적 없음 어떠한 질병으로 약 먹고 있는 것 없음 남아있음 모든 치아 calculus gingiva grade 뿌리가 녹아있거나 드러나 있음 발치 진행하기로 함 bt bphrrr cbc wbc plt chem glob 남아있는 치아 발치 목 뒤에 있는 mass 제거 주기적으로 치아관리 및 구강소독 내복약 복용 집에서 주의해야할 사항 안내 일주일 후 재진 예정. ,,"26,61", 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,"구취,구내염",구취,333,6
Mixed(혼합),F               ,2185,D_VIP, money 선납하심 그림 에디슨병 양측후지탈구수술상담 파스텔 동물병원 화곡동 year 전에 에디슨 진단 받음 month 전쯤 약 증량 소화기 증상은 없었으나 떠는 증상 때문에 증량 이후는 현재 컨디션 양호한 상태 pds time kg bid florinef money mg kg bid 혈액검사는 최근에 진행하시진 않음 이전에 양측 후지 안좋다고 얘기는 들으셨었고 수술 상담은 아이 컨디션 회복 후 진행하자고 들음 어제부터 통증 호소와 보행 불가능 일어서기는 하나 걷지는 못함 최근까지 식욕 비슷하게 유지하고 있었으나 어제부터는 거의 먹지 않음 pe hrbpm rr min bt 도 crt 탈수 no murmur no crackle 전반적으로 비듬 신경검사 lt. hindlimb 신경반사 그 외는 특이소견 없음 혈검 stress leukogram 전해질 양호 na na tx s 유지 수술전 상담 by han 현재 좌측 고관절 탈구 양측 슬개골 외측 탈구 상태. 후지의 postural 감소되어 있음. 이는 정형질환과 별개의 디스크 등신경질환 가능성 있음. 좌측 fho 는 필수 슬개골 탈구는 교정하는 것이 추천되나 외측 탈구의 경우 재탈구율이 높고 또는 내측 탈구로 변형되어 나타나는등 수술 성공율이 내측 탈구보다는 낮으므로 신중히 생각하실 것 안내. 현재 디스크등 신경계 질환이 명확히 감별된 상황이 아니므로 추후 별개의 마비증상등이 나타날 수 있음을 고지. 좌측 fho 슬개골탈구 교정술 실시하기로 하심. 애디슨 질환으로 인한 마취 위험성 및 수술 후 합병증 등에 대해 고지 및 동의 수술 및 마취 동의서 참고 신경증상은 모니터링 후 증상 심해지면 mri 촬영하기로. 내일 time 수술예정 내일 파스텔동물병원에 전화 원장 서상혁 이름으로 올라간 fentanyl time inj. amp은 잘못된 것으로 실제 처방되지 않았으며 원장 서상혁 이름으로 올라간 fentanyl time inj. amp가 바른 처방으로 실제 처방되었음 원장 서상혁 ,2198,, 슬개골 (아) 탈구 ,근육 골격 질환 ,,,980,7
Mixed(혼합),FS,2116,D_VIP, money 선납 승희 오늘 time time 예약되어있음. 이준석과장님 술전검사 오후중 외과팀 유선종양 수술 내원시간 time 로 조정가능한지 문의전화오셨습니다. 개인사정으로 전화통화 불가능할수있음. 통화안되면 문자로 일단 결과 남기겠다고 했습니다. 중성화 유선종양 유선 종괴 검사 by 안 유선 총 쌍 번 유선 직경 time 이하의 다발성 유선 종괴 자세한 위치 및 크기는 그림 참조 mammary gland tumor 왼쪽 번 유선 regional mastectomy 그 외 다른 종괴들은 lumpectomy 진행 예정 왼쪽 번 유선 사이에 있는 가장 큰 종괴 조직검사 예정 sx regional mastectomy and lumpectomy with ohe surgical procedure routine approach and procedure of ohe abdominal wall closure maxon routine procedure of regional mastectomy and lumpectomy skin defect by regional mastectomy was closed maxon for sq and nylon and for skin. lumpectomy site was sutured nylon surgical findings no specific findings ,,, 유선 종양 / 유방 종괴 , 생식기 질환 ,,,670,3
,MN,2170,B_W,일주일째 활력이 없음 먹는 양이 적었음 원래 성격이 입이 짧았음 체중감량사료를 먹으면서 살이 빠짐 턱에 상처가 생겼음 많이 긁고 있음 오기전에 먹긴 함 소량 구토 설사 등 특이사항 없음 saa 치주염 턱밑 염증 입원하여 수치 떨어지는지 확인할 예정 항생제를 쓰면서 지켜볼 예정 ,,21, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,"식욕부진, 식욕저하","식욕부진, 식욕저하",155,6
K.C(Korean Cat),M,2048,B_W,hx 어젯밤에 시장통에서 길고양이 구조 구조 당시 의식이 희미하고 일어서지 못하며 누워 있는 상태 사탕수수 원당 및 비타민을 물에 타서 조금씩 입 안에 넣어 주자 의식 회복하고 일어서서 움직임 습식 사료를 입 앞에 대어 주면 스스로 조금씩 먹음 구토 증상 보이지 않음 소량의 황갈색 설사 한 번 누런 눈곱이 굳어 있어서 눈을 뜨지 못함 pe severe depression bcs hr bpm rr time pm bt sbp time hg delayed capillary refill time and skin turgor purulent eye discharge ou otoscopy small amount of cerumen au fpv ag test kit negative fecal exam direct smear no parasite eggs fecal cytology number of spiral shaped bacteria suspected campylobacter spp. small number of degenerate neutrophils bloodwork cbc mild thrombocytosis mcl blood glucose hypoglycemia electrolytes within normal limits blood gas ph pco chco etc. pcr test for diagnosis of infectious diseases pending tx dextrose kg once iv slowly fluid therapy with s kcl time eq taurine vitamin fr time kg hr cefazolin time kg tid iv slowly metronidazole time kg bid iv cri over time cimetidine time kg tid iv slowly chlorpheniramine time kg sid iv slowly premedication before plasma transfusion hyperimmune plasma time cat sid iv cri over time sodium hyaluronate eye drops h ou tobramycin eye drops h ou royal canin veterinary diet recovery ,고양이코로나장염,13, 세균성 장염 , 소화기 질환 ,허탈(붕괴),허탈(붕괴),1142,0
K.C(Korean Cat),M               ,2048,F_센트럴,길냥이를 집앞에서 밥주고 키우시는데 혈변 증상이 있어서 데려오심 fpv 음성 혈액검사 nsf 세균성 설사로 추정되어 경구약 투여후 지켜보기로함 ,,"42,2", 세균성 장염 , 소화기 질환 ,"혈변,설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성)",혈변,80,0
Poodles(푸들),MN,2048,A_라라,s 오늘 아침부터 설사함 회 이전에 육포 외에 특이하게 주신 음식은 없음 구토 없음 식욕 없음 어제까지는 양호 분변검사 간균 세균성 장염 의심 이틀 후까지 호전 없을 시 pcr검사 보호자님 집에서 케어 힘드셔서 설사 완화시까지 입원처치 수액은 탈수 예방위해서 내일까지 맞추고 입원은 month 간 ,,2,,,설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성),166,0
American Shorthair Cat(아메리칸 숏 헤어 고양이),MN,2095,A_라라,s 소변취하는 자세만 취하고 저녁부터 소변 못봄. 톰캣 카테터 장착하고 수액처치 플러그가 개정도 나왔음 소변검사시 당이 검출되어 검사오류로 판단하고 소변검사 재검사 실시할 예정임 저녁에 전해질 모니터링 실시 특발성 방광염 수액 유지속도 ns 주사처치 세파 시메 라식스 bid 내복약 없음 영양제 보조제 없음. 식사 습식사료 내츄럴 발란스 ,,901,,,"배뇨장애(통증, 곤란), 빈뇨, 이소배뇨","배뇨장애(통증, 곤란), 빈뇨, 이소배뇨",189,2
Yorkshire Terrier(요크셔 테리어),F,2133,C_잠실ON, 두루refer cc 낙상 이후 쇼크 이후 몸을 가누지 못함 hpi history med lasix time kg vac trauma surg env food 낙상 이후 빈호흡 상태가 개선되지 않음. 약간의 보정 및 긴장에도 syncope 비명을 지름,,4, 상기에 해당하지 않는 신경계 질환 , 신경 질환 ,통증,통증,140,5
Mixed(혼합),MN,2275,D_VIP, money 수납하셨습니다 그림 cc. 오토바이사고 내원 직전 오토바이에 얼굴 치임 hr rr bptime hg 상안검 결막 부종 충혈 severe anisocoria l plr 안압 정상 각막염색 혈검 lactate hyperglycemia 방사선 흉추 malalignment tx. mannitol kg 큰 외상 현재 확인되지 않음 head trauma 준해 감압하며 추가 증상 모니터링 입원 ,,0, 사고 (교통 사고 포함) ,전신성의 질환,기타 증상,기타 증상,222,8
Maltese(말티즈),MN,2126,C_잠실ON, 몇년전부터 간헐적으로 time 발작 증상 있을때마다 편측 방향만 증상을 보임 어제 저녁 time 경 발작 새벽부터 발작 멎지 않았으며 본원 내원시까지 계속 틱증상과 같은 모습을 보임 몇년전 회음부 탈장 방광탈장 수술했으나 재발 . 방사선 후두골 key hole sign은 확인되지 않음 두개 외측상 opacity 증가한 부분이 확인 . 혈액검사 특이사항 없음 cpk 여분 없어서 검사 못함 tx. propofol cri mannitol kg sid mpss time kg tid cepha time kg bid dw time eq time h 유지 아이가 포폴로 재우는 중에도 호흡이 가쁜 편이며 체온도 비교적 높은편 두개내 기존에 가지고 있던 병변 악화되면서 증상발현 후 억제 안될 수 있으며 종양시 예후는 매우 좋지 않을것 mri추천드림 익일 오전 헬릭스 촬영 예약 month 입원비는 평균 비용 money 안내 day 까지는 경과 지켜보자고 말씀드렸으며 이후 입원 추가 될 수 있음 ,,16, 경련 발작 (원인 미정) , 신경 질환 ,발작,발작,498,4
Shih Tzu(시추),F               ,2170,G_부천이지,최근에 병원가서 진료 받은 적은 없음 가끔씩 음식물 구토 예방접종은 어릴적 하고 안함 심장사상충 예방 안하신지 year 정도 되었음. 사료 조금 먹고. 육포나 닭고기 삶은 것. 양치질 month 일에 한번. 수술명 스켈링 치과방사선 술전검사 결과 특이사항 chemistry nrf cbc nrf ray nrf dx nrf 수술전 처치 항생제 ampicillin 진통제 트라마돌 fluid ns 마취종류 호흡마취 isoflurane 기타 발치 개 결손치아 money 발치 추가 사항 움직임 심한 상태 money 사이 치간 치주염. 모두 발치 필요 치주염 진행. 발치필요 사이 치간 치주염. 모두 발치 필요 보호자분 상담내용 적극적인 치료로 수술적 발치 필요 하다고 말씀드림 양치질 등 지속적인 관리 없이 급속적으로 치주염 진행되며 주변 치아까지 염증 동반할 가능성 설명드림 당장 치료하지 않는 다면 주기적인 스켈링과 함께 모니터링 필요하다고 말씀드림 ,,1, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,구토(급성/만성),구토(급성/만성),475,6
Miniature Pinscher(미니어쳐 핀셔),M,2170,B_W, day 에 잇몸의 염증으로 항생제주사를 맞음 그후에 활력이 저하되었고 계단을 올라가지 못함 month month 날 항생제 맞았음 month month 항생제 month month 고열이 있었음 어제 그제 괜찮다가 다시 month 날 보였던 행동을 보임 day 만 설사가 있었고 그후로는 정상변을 봄 month 되면서부터 체력이 떨어지는 것이 느껴짐 침을 흘리는 것이 시작됨 삼겹살과 우유 커피 사람먹는 것을 먹임 오늘 얼굴을 만질 때 아프다고 함 month 전부터 입을 못만지게 함 murmur가 있음 초음파 검사중 구토 회 기력 저하있었음 심초음파상 mr 우측 부신 종대 우측 신장 만성화 피질에코 상승 전립선 비대와 cyst 동반 종양성 변화 의심 검사 후 상담중에 호흡곤란 폐수종발생 보호자께서year 동안 약을 전혀 먹이지 못하고 계심 그래서 상태가 호전되어도 심장약을 못 먹인다고 하심 이번에 병원을 다닐 때도 그래서 주사처치만 받고 있었음 치료를 포기하심 동의하에 안락사 진행함 ,,"3,4,15", 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,"발열/고열,통증,출혈",발열/고열,500,6
Scottish Terrier(스코티쉬 테리어),F               ,2170,F_센트럴,몇일전부터 턱을 만지면 아파함. 이전 혈액검사에서 간수치가 높았음. 투약 후 간수치가 떨어졌음. 혈액검사 심전도 흉부방사선. 치과 방사선 치아 뿌리 염증 발치 후 큐렛으로 뿌리 부분 긁어줌 치아 뿌리 개씩 수직골소실에의해 거의 분리된 상태. 발치 필요. plan 치주골염 month 간 항생제 투여 필요. 간수치 높아서 간보호제 같이 처방. month 후 간수치 측정하시고 투약 이어가시도록. 쿠싱병의심되어 진단하고 투약 필요. ,2085,"67,6103", 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,"간수치상승,LPGS",간수치상승,240,6
Pomeranian(포메라이안),MN              ,2133,G_부천이지,보름전에 산에 산책후 보행 이상 발생 가람 동물병원에서 약 먹이고 난후 약간 호전 어제 새벽부터 증상 악화 새벽에 내원해서 진통제 주사후 약간 호전 엉덩이나 허리 부위 촉진시 통증 반응 있음 보행시 비틀거리면서 걸음 뒷다리 보행 소실 체중 지지 안됨 앞다리 보행 이상 완전한 체중 지지 안됨 신경계 반응 검사 동영상 촬영 고유 자세 반응 검사 사지 모두 반응 없음 뒷다리 심함 hopping test 우측 앞다리 미약 그외 반응 없음 척추 촉진 통증 반응 없음 사지 통증 반응 반응 양호 검사 방사선 검사 흉부 mild bronchial pattern 복부 nrf 골격계 좁음 l spodylosis deformans 초음파 검사 담낭 echogenic sediment 간 에코 미약한 상승 fine texture 비장 honeycomb pattern 신장 양측 신장 결석 혈액 검사 간수치 신장 수치 상승 상담 신경계 반응 검사에서 목부위 신경계 질환 의심 ct 촬영 권유 but ivdd외 신경계 질환 진단 불가 진단후 상태에 따라 수술 또는 물리 치료 권유 예정 ct 촬영 마취 프로포폴 cc 다수의 좁아진 추간판 공간 확인 석회화된 추간판 확인 추체 퇴행성 변화 time alized disc dural mineralization discus degeneration time pto compressing the spinal cord spondylosis deformans ivdd ventral spondylosis deformans c degeneration cholelithiasis fb in pylorus 뼈보다는 낮은 밀도 신장결석 미약한 슬관절 퇴행성 변화 양측 좌측 옆 폐 고감쇠 반응 일시적인 무기폐 가능성 처치 수액 처치 유지수액 헤파밀즈 타우린 오르니푸랄 kcl vitc 산소 공급 mpss time kg tid tapering 파모티딘 time kg tid 올비 스코어 상담 목부위 다발성 ivdd 확인 보호자분 일단 내과적인 치료 원함 내과적인 치료후 상태에 따라 수술 권유 상태 악화 가능성 있음 설명 내과적 치료시 약에 의한 간 수치 상승 소화기 부작용등 설명 드림 ,"2081, 2087, 2233","1303,4", 상기에 해당하지 않는 신경계 질환 , 신경 질환 ,"운동실조,통증",운동실조,1063,5
Maltese(말티즈),F,2185,B_W,좌측 후지의 파행. 미용 후부터 time 부터 미용하기 전부터 다리를 들고 있었음. pe 양측 mpl left grade iii or iv right grade iv 전십자 인대는 파열되지 않았음. 좌측 슬개골이 빠져 있을 때 통증이 심함. 요가 없어서 요검사는 진행하지 못함. 성격 때문에 혈압을 측정하지 못함. ct상에서 avulsion fracture는 관찰되지 않음. mpl bilaterally 좌측 stifle의 인대 손상으로 추정. rx 메타캄. 방울씩 하루 회. 오늘은 방울 투여. month 후 재검. ,,4, 슬개골 (아) 탈구 ,근육 골격 질환 ,통증,통증,290,7
Unknow(알수없음),M,2126,C_잠실ON, 금일 새벽 발작을 일으켜서 내원 과거에는 발작을 일으킨 적이 없었음 이번주 내내 식욕이 없고 체중이 줄어듬 배를 만지면 불편해하는 듯함 발작의 원인은 뇌의 이상 심장의 이상 간의 이상 등등이 있을 수 있다고 설명드림 보호자분께서 예방접종을 차 까지만 하시고 더이상 하시지 않았음 방사선 촬영 결과 심장이 커지고 흉수가 차 있는 것이 확인됨 보호자분께는 fip나 심장병의 가능성도 있다고 말씀드림 기본적인 혈액검,,16, 경련 발작 (원인 미정) , 신경 질환 ,발작,발작,230,4
K.C(Korean Cat),FS,2170,D_VIP,forl 발치 dr.조서현 subjective 양측 하악의 premolar 주변으로 치아소실. 치주염 소견으로 발치 및 검사위해 내원. objective laboratory examination cbc nrf chem mild elevation of crea assessment forl plan sx scailing polishing tooth extraction of 술부 검판봉합완료. surgical findings 좌측 하악 어금니의 뒷쪽뿌리는 재흡수에 의해 거의 소실된 상황. 육안적으로 구분이 되지 않아 burring 으로 주변 치조골을 포함하여 제거. 우측 하악 어금니의 뿌리는 manual removal. ,,6102, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,치주염,치주염,348,6
Shih Tzu(시추),F               ,2048,G_부천이지,s. 어젯밤부터 구토 증상 나타났음 어제밤에 수육을 먹고 나서부터 구토 증상이 나타남 밥도 안먹고 지속적으로 구토하여 내원 설사는 없으며 평소에도 사료는 잘 안먹고 간식을 잘 먹었음 이물섭식 가능성은 적음 추가접종 항체가 산책 하루 회 o. pe 복부 촉진시 약간 통증 호소 병원에서 구토 설사 수회 함 혈액검사 hct 상승 bun nh 상승 소변검사 농축뇨 분변검사 아포 생성균 다량 관찰 키트검사 췌장염 음성 파보 코로나 지알디아 음성 방사선 장내 다량의 가스 음영 초음파 nrf a. 탈수 신정성 질소혈증 세균성 장염 tx. 수액처치 항구토제 및 진통제 주사 내복약 유산균제제 처방 ce. 단순 세균성 장염인 경우 예후가 나쁘지 않지만 지속적으로 식욕부진 구토 설사 등의 증상이 나타날시 추가적인 검사 또는 치료가 필요하므로 재내원해주시기 바랍니다. 유산균제제는 꾸준히 먹여주세요 ,,"1,2", 세균성 장염 , 소화기 질환 ,"구토(급성/만성),설사(급성 소장성/급성 대장성/만성 소장성/만성 대장성)",구토(급성/만성),440,0
Chihuahua(치와와),F,2126,C_잠실ON,cc 오늘 아침에 shock 증세로 지역병원 내원 식욕 활력 정상이었다고 하심 어제까지만 해도 특이소견 없었음 오전에 집에서 뻗어있는거 발견하시고 지역병원 내원 shock 처치주사 맞았다고 하심 오후에 상태 양호했으나 불안증세 보이고 기립 잘 못해서 내원 내원당시 plr 떨어지고 보행은 하나 집에서는 못함 부자연스러움 dull한 상태 유지 치와와 품종특성상 seizure 였을 가능성 말씀드림 본래 지방에 계시고 내일 내려가셔야 한다고 하셔서 일단 오늘 검사 실시하고 최소한의 처치라도 실시하기로 함 자료는 보내드리기로 함 비용 할인 요청하셔서 할인은 어렵고 오늘 세벽에 산소처치 해드리기로 함 ,,16, 경련 발작 (원인 미정) , 신경 질환 ,발작,발작,334,4
Shih Tzu(시추),MN,2092,B_W, year 전에 방광 결석 으로 수술울 함 사료는 d 사료먹음 안과검사 우안 시력 양호 좌안 시력 있으나 저하 plr 좌우측 양호 stt 좌 우 양호 좌우측 각막궤양 음성 좌안 각막부종 궤양후 부종 가능성 안압 좌 우 양호 각막부종으로 좌안 slit관찰 불가능 초음파상 좌우측 핵경화 및 핵백내장 관찰됨 백내장은 미성숙한 백내장으로 현재 시력에는 큰영향 없으나 추후 진행정도에 따라 시력 저하 및 손상가능성 있음 백내장으로 인하여 정확한 안저평가 불가하나 좌우측 plr반응 양호하며 시력검사상 특이사항 없으며 초음파 결과 양호한 것으로 보아 안저 질환 가능성 낮을 것으로 판단됨 좌안의 경우 각막부종으로 인하여 시력저하 의심되며 고장성 nacl 뮤로 안약 하루 회이상 항생제 안약 보조처방 고려 ,,9, 방광 결석 , 비뇨기과 질환 ,배뇨실금,배뇨실금,389,1
Miniature Pinscher(미니어쳐 핀셔),MN,2170,C_잠실ON, tel tel 마취 전 연락드리기로 함 문자 금일 건강검진 실시하고 내일 스케일링 실시예정 안과검사 우안 좌안 stt 안압 각막염색 plr 각막상태 양측 모두 양호 충혈 발적 색소침착 없음 ,,, 치주 질환 / 치주염 (젖니 유전자 좌로 유래하는 것 포함),치아 및 구강 질환 ,,,107,6
Poodles(푸들),F               ,건강검진,D_VIP,나이가 좀 있어서 혈액검사 원하셔서 진행함 별다른 이상은 없음 pcv가 높음. 물 많이 먹여주세요 종합구충제 처방 네발에 지간습진 있어서 발바닥 털 밀어드리고 소독해드림 ,,,,,,,95,9
Bichon Frish(비숑 프리제),FS,2092,D_VIP,dr.조서현 subjective 한달 넘게 혈뇨증상을 보이고 있음. 방광관련 약물 투약 한달 넘게 먹이고 계심. 본원에서 결석제거 수술 헬릭스에서 결석 재발도 재수술 진행. 최근들어 다시 증상이 발생한 것으로 보이며 소변에 작은 결석들이 같이 보이는 증상을 보여 내원하심. objective radiographic exmination multiple ub callus formation 비뇨기초음파 finding ddx cystitis ub calculi urethral calculi comment 요도 폐색 발생가능. retrohydropropulsion 후 수술 추천됨. radiologist 윤학영 dvm phd assessment ub calculi urethral calculi plan 수술적 교정이 필요한 상태. 방광염의 속발이 의심되므로 해당 결석의 생성 원인은 세균성 방광염의 의한 가능성을 배제할 수 없음. ,"방광염, 요도결석",8, 방광 결석 , 비뇨기과 질환 ,혈뇨,혈뇨,463,1
Russian Blue Cat(러시안 블루 고양이),FS              ,2092,F_센트럴,s 혈뇨 보름전에 방광염치료 받고 호전 되엇다가 오늘 time 은 혈뇨 눔 피부질환.귀밑 탈모 가피형성 방사선.방광결석 혈검.탈수 hct 상승 p time 점심 때 내원하여 수술 설명 듣고 수술 진행 하기로 함. 부토판올 timeiv injection diazepam timeiv injection propofol time ,,8, 방광 결석 , 비뇨기과 질환 ,혈뇨,혈뇨,181,1
